scientific_women,context,question,answer,
Nancy Allbritton,Nancy Allbritton es una profesora y presidenta Kenan en el Departamento de Ingeniería Biomédica de la Universidad de Carolina del Norte en Chapel Hill y en la Universidad Estatal de Carolina del Norte.[1]​,¿De dónde es profesora?, en el Departamento de Ingeniería Biomédica de la Universidad de Carolina del Norte en Chapel Hill y en la Universidad Estatal de Carolina del Norte,
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Dónde nació?,"Saginaw, Míchigan",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿De dónde es?,"Saginaw, Míchigan",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿En qué lugar nació?,"Saginaw, Míchigan",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Cuándo nació?,"4 enero,1876",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Cuándo cumple años?,"5 enero,1876",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Cuál es su fecha de nacimiento?,"6 enero,1876",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Cuándo murió?,"julio 6, 1959",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Cuándo falleció?,"julio 6, 1960",
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Quién fue?,fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.,
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿Quién era?,fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.,
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿De dónde fue decana?,de la Universidad de Indiana,
Agnes E. Wells,"Agnes Ermina Wells, Doctora (Ph. D) (Saginaw, Míchigan, 4 enero,1876– julio 6, 1959)  fue una educadora americana y activista en favor del sufragio de las mujeres en Women's equal rights movement. Decana de la Universidad de Indiana y catedrática universidad de matemáticas y astronomía.",¿De dónde fue catedrática?,catedrática universidad de matemáticas y astronomía.,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿Dónde nació?,Madison,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿De dónde es?,Madison,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿En qué lugar nació?,Madison,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿Cuándo nació?,1974,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿Cuándo cumple años?,1974,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿Cuál es su fecha de nacimiento?,1974,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿Quién es?,"es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima",
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿De dónde es profesora?,profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿De dónde es becaria?,becaria de la Facultad de Energía de Georgia,
Kim M. Cobb,"Kim Cobb (Madison, 1974) es una climatóloga estadounidense, profesora de la Escuela de Ciencias de la Tierra y la Atmósfera del Instituto de Tecnología de Georgia, y becaria de la Facultad de Energía de Georgia. Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",¿En qué está interesada?,"Está particularmente interesada en la oceanografía, la geoquímica y en la modelización del paleoclima.",
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿Dónde nació?,Pamplona,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿De dónde es?,Pamplona,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿En qué lugar nació?,Pamplona,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿Cuándo nació?,1977,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿Cuándo cumple años?,1977,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿Quién es?,"es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿En qué se especializa?,en el área de la biomedicina,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿En qué desarrolla su investigación?,sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas,
Jaione Valle,"Jaione Valle Turrillas (Pamplona, 1977) es una investigadora española especializada en el área de la biomedicina. Desarrolla su investigación sobre la identificación de las proteínas denominadas BAP (biofilm associated proteins)[1]​ y su relación con enfermedades neurodegenerativas.[2]​ Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed.[3]​",¿Dónde trabaja?,"Trabaja en el Grupo de Investigación en Patogénesis Microbiana en el Centro de Investigación Biomédica de Navarra, Navarrabiomed",
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Dónde nació?,"Chihuahua, Chihuahua",
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿De dónde es?,"Chihuahua, Chihuahua",
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿En qué lugar nació?,"Chihuahua, Chihuahua",
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Cuándo nació?,11 de junio de 1945,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Cuándo cumple años?,12 de junio de 1945,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Quién es?,es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. ,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Cómo se la conoce?,conocida como Pety Guerrero,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿De qué es defensora en especial?,en especial del derecho al territorio y el de los pueblos indígenas,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Desde cuándo es es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua?,Desde el 4 de octubre de 2016,
Pety Guerrero,"María Teresa Guerrero Olivares (Chihuahua, Chihuahua, 11 de junio de 1945), conocida como Pety Guerrero, es una activista y defensora de los Derechos Humanos (en especial del derecho al territorio y el de los pueblos indígenas) y alfabetizadora. Desde el 4 de octubre de 2016 es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua. [1]​",¿Qué es Desde el 4 de octubre de 2016?,es Titular de la Comisión Estatal para los Pueblos Indígenas del Gobierno del Estado de Chihuahua.,
